Program Name,DBA,Street,City,State,Zipcode,Phone,Certification,FullCertification
"BHG XLIV, LLC d/b/a BHG Albany Treatment Center",,2607 Ledo Rd.,Albany,GA,31707,(229) 903-0022,Certified,6/1/05
"Advanced Recovery Systems, LLC (WY)",The Recovery Village Atlanta,11725 Pointe Place,Alpharetta,GA,30076,(754) 300-3120 x4000,Provisional,
"Platinum Recovery, LLC",,1560 E. Forsyth Street,Americus,GA,31709,(678) 972-8577,Provisional,
"DM & ADR, Inc.",,1710 Commerce Rd.,Athens,GA,30607,(706) 552-0688,Certified,10/5/03
Alliance Recovery Center Athens,Alliance Recovery Center,119 Sycamore Dr,Athens,GA,30606,(706) 850-2121,Certified,7/22/15
"New Day Treatment Center, Inc.",,2563 Martin Luther King Jr. Drive,Atlanta,GA,30311,(404) 699-7774,Certified,4/8/09
"Medicine Wheel Clinic - Winder, Inc.",,85 Auburn Park Drive,Auburn,GA,30011,(770) 277-7958,Certified,1/27/10
"Colonial Management Group, LP",Augusta Metro Treatment Center,2357 Tobacco Road,Augusta,GA,30906,(706) 722-3855,Certified,1/1/04
Harbor Springs Counseling Services LLC,,1790 Mulkey Road Suite 3A,Austell,GA,30106,(770) 693-9388,Certified,4/13/20
Bainbridge Treatment Center,,931 S. West Street,Bainbridge,GA,39819,(229) 248-4220,Certified,2/29/04
"Medmark Treatment Centers of Georgia, Inc.",MedMark Treatment Centers Blairsville,20 Commerce Drive,Blairsville,GA,30512,(706) 781-6987,Certified,9/30/08
"Coastal Community Behavioral Health, LLC",Coastal Community Behavioral Health - Brunswick,100 Cornerstone Drive,Brunswick,GA,31523,(912) 262-0311,Certified,1/27/10
"HealthQwest Frontiers, LLC",,4271 South Lee Street,Buford,GA,30518,(678) 765-8160,Certified,2/28/17
"Crossroads Treatment Center of Calhoun, PC",,"367 Richardson Road, SE",Calhoun,GA,30701,(762) 204-2451,Certified,9/15/16
"Toxicology Associates of North Georgia Carrollton, Inc.","Toxicology Associates of North Georgia Carrollton, Inc.",2536 Carollton-Villa Rica Hwy,Carrollton,GA,30117,(770) 214-9788,Certified,2/7/06
"Cartersville Center, LLC",Cartersville Comprehensive Treatment Center,218 Stonewall St.,Cartersville,GA,30120,(770) 386-1907,Certified,11/1/03
"MedMark Treatment Centers of Georgia, Inc.",MedMark Treatment Centers Chatsworth,1289 GI Maddox Pkwy (US Hwy 76),Chatsworth,GA,30705,(706) 971-3366,Certified,2/22/17
"Columbus Addiction Associates, LLC",MedMark Treatment Centers Columbus North,5617 Princeton Avenue,Columbus,GA,31904,(706) 257-7722,Certified,12/17/14
"Metro Treatment of Georgia, LP",Columbus Metro Treatment Center,1135 13th Street,Columbus,GA,31902,(706) 887-5030,Certified,5/11/15
Robert W. Dail Memorial Treatment Center,Robert W. Dail Memorial Treatment Center,734 Hospital Road,Commerce,GA,30529,(706) 335-5180,Certified,3/9/07
Alliance Recovery Center Conyers,Alliance Recovery Centers,3430 Highway 20,Conyers,GA,30013,(770) 922-4482,Certified,10/30/07
"Georgia CTC, LLC",Cumming Comprehensive Treatment Center,514 West Maple Street,Cumming,GA,30040,(770) 844-7826,Certified,5/11/16
"Georgia CTC, LLC",Dallas Comprehensive Treatment Center,311 White Ingram Parkway,Dallas,GA,30132,(678) 363-7447,Certified,4/2/18
"Crossroads Treatment Center of Dawsonville, PC",,"400 Dawson Commons Circle, Suite 410",Dawsonville,GA,30534,(706) 344-1263,Certified,9/12/17
"Alliance Recovery Center, Inc.",,1116 E. Ponce De Leon Ave.,Decatur,GA,30030,(404) 377-7669,Certified,9/1/03
Department of Veterans Affairs,,1670 Clairmont Road,Decatur,GA,30033,(404) 321-6111 x7392,Certified,8/22/03
"GPA Treatment, Inc.",,4255 Chamblee-Tucker Rd.,Doraville,GA,30340,(770) 493-1922,Certified,10/1/03
"HealthQwest, LLC",,2109 Fairburn Rd. Unit A,Douglasville,GA,30135,(770) 726-7958,Certified,3/16/11
Genesis Treatment Center,,"1022 Hillcrest Parkway, Suite 106",Dublin,GA,31201,(478) 272-5020,Certified,7/31/13
Preferred Treatment,Preferred Treatment Center (PTC),"1101 Hillcrest Parkway, Unit F",Dublin,GA,31021,(478) 274-8426,Certified,5/23/11
Southside Behavioral Lifestyle Enrichment Center,,1100 Cleveland Avenue,East Point,GA,30344,(404) 627-1385,Certified,2/10/06
Southeast Georgia Treatment Center,Southeast Georgia Treatment Center,816 Professional Center Drive,Eastman,GA,31023,(478) 374-0390,Certified,7/15/11
"Gateway Treatment Centers, LLC",,37 Kiker Street,Ellijay,GA,30540,(706) 703-2517,Certified,9/2/20
Treatment Center of Augusta,,4158 Washington Rd. Suite 4,Evans,GA,30809,(706) 854-9225,Certified,8/31/12
Access Health Treatment Center,,105-A Bradford Square,Fayetteville,GA,30215,(770) 742-3846,Certified,6/21/17
"Metro Treatment of Georgia, LP","Northwest Georgia Treatment Center, Inc.",2007 Old LaFayette Road,Fort Oglethorpe,GA,30742,(706) 861-9390,Certified,12/1/03
Lanier Treatment Center,,592-A Medical Park Drive,Gainesville,GA,30501,(770) 503-7721,Certified,4/3/06
"New Start Treatment, LLC",New Start Treatment,600 South 8th Street,Griffin,GA,30224,(678) 603-1381,Certified,9/7/12
"BHG LII, LLC",BHG Jackson Treatment Center,"794 McDonough St., Suite 104",Jackson,GA,30233,(770) 775-9044,Certified,11/16/06
"Consecrated Care, Inc.","Consecrated Care, Inc.","217 Arrowhead Blvd., Ste. B-1",Jonesboro,GA,30236,(770) 472-9110,Certified,1/31/06
"Crossroads Treatment Center of LaGrange, PC",,"229 South Davis Road, Suite 900",LaGrange,GA,30241,(706) 756-1489,Certified,11/15/16
"Toxicology Associates of North Georgia Gwinnett, Inc.","Toxicology Associates of North Georgia Gwinnett, Inc.",751 Collins Hill Rd.,Lawrenceville,GA,30046,(770) 248-1616,Certified,1/30/07
"Georgia CTC, LLC",Loganville Comprehensive Treatment Center,3543 Highway 81,Loganville,GA,30052,(760) 459-1418,Certified,2/17/21
"Trinity Treatment Center, Inc",,1221 Newberg Avenue,Macon,GA,31206,(478) 788-5600,Certified,11/20/08
Georgia Treatment Services. LLC,,6132 Hawkinsville Rd,Macon,GA,31216,(478) 788.0066,Certified,1/25/19
"HealthQwest Frontiers, LLC",,890 Northwoods Plaza,Macon,GA,31204,(478) 330-7164,Certified,10/9/14
Changing Phases Behavioral Support Inc.,Changing Phases Treatment Center,3655 Canton Rd,Marietta,GA,30066,(770) 726-1162,Certified,1/13/17
"Toxicology Associates of North Georgia, Inc.","Toxicology Associates of North Georgia, Inc.","1700 Cumberland Point Drive, Suite 1",Marietta,GA,30067,(770) 612-8264,Certified,6/1/04
Bright Star Healthcare Group,Bright Star,1545 Pennsylvania Avenue,McDonough,GA,30253,(678) 770-5901,Certified,1/6/20
"Beyond Your Ordinary, Inc",Beyond Your Ordinary Treatment Center,97 Atlanta St,McDonough,GA,30253,(678) 671-3547,Certified,4/15/21
New Start Treatment - Milledgeville,,1211 Columbia Dr.,Milledgeville,GA,30161,478-451-5210,Certified,11/16/22
The Center of Renewed Promises,The Center of Renewed Promises,1485 Hwy 34E Suite A-1,Newnan,GA,30265,(770) 502-0884,Certified,10/28/11
Treatment Center of Newnan,,931 Lower Fayetteville Road Suite K,Newnan,GA,30263,(770) 502-7055,Certified,11/29/10
"Metro Treatment of Georgia, LP",Atlanta Metro Treatment Center,"6500 McDonough Dr., Suite B-2",Norcross,GA,30093,(770) 242-7865,Certified,12/1/03
Lakeland Centres - Atlanta,,6063 Peachtree Parkway- Suite #103B,Norcross,GA,30092,(770) 840-9912,Certified,5/1/04
"New Pointe Treatment Center, LLC",,1031 Keith Dr,Perry,GA,31069,478-987-7912,Certified,5/14/15
Crossroads Treatment Center of Northwest Georgia,,4083 Cloud Springs Road,Ringgold,GA,30736,(706) 820-6087,Certified,5/18/12
"Ringgold Treatment Center, LLC",,8292 Highway 41,Ringgold,GA,30736,(706) 952-2800,Certified,3/16/18
"New Horizons Treatment Center, Inc",,36 Chateau Ct.,Rome,GA,30161,(706) 233-9603,Certified,5/1/04
"Neptune Clinical Group, Inc.",Private Clinic North,822 Chickamauga Ave.,Rossville,GA,30741,(706) 861-6458,Certified,1/12/06
The Renaissance Recovery Group,North Fulton Treatment Center,601 Bombay Lane,Roswell,GA,30076,(770) 754-4674,Certified,9/1/03
"Coastal Community Behavioral Health, LLC",,5155 GA Highway 40 E,Saint Marys,GA,31558,(912) 434-1794,Certified,12/6/17
"HealthQwest Frontiers, LLC",,6707 Forest Park Dr,Savannah,GA,31406,(912) 335-1699,Certified,9/13/12
"Augusta Addiction Associates, LLC",MedMark Treatment Centers - Savannah,600 Commercial Court,Savannah,GA,31406,(912) 352-4357,Certified,2/26/13
"Metro Treatment of Georgia, LP",Savannah Treatment Center,145-B Southern Blvd.,Savannah,GA,31322,(912) 233-6430,Certified,12/9/15
"Reliance Treatment Center of Statesboro, LLC",Reliance Treatment Center of Statesboro,201 Donehoo Street,Statesboro,GA,30458,(912) 489-7827,Certified,4/15/13
"HealthQwest, LLC",,1233 Eagles Landing Parkway,Stockbridge,GA,30281,(770) 474-4009,Certified,6/25/12
"Crossroads Treatment Center at Sugarloaf, PC",,2855 Lawrenceville Suwanee Road,Suwanee,GA,30025,(770) 904-3955,Certified,12/12/12
"Golden Recovery, LLC","Golden Recovery, LLC",1540 Highway 19 North,Thomaston,GA,30286,(770) 688-4625,Provisional,
"BHG XLV, LLC d/b/a BHG Tifton Treatment Center",,2402 N. Tift Ave.,Tifton,GA,31794,(229) 382-7898,Certified,6/3/09
Pittard Clinic,,1654 Falls Rd.,Toccoa,GA,30577,(706) 886-4420,Certified,11/24/08
Treatment Center of Valdosta,,2301 University Dr.,Valdosta,GA,31602,(229) 242-4673,Certified,2/8/06
Extended Wellness,Extended Wellness,604 Broad Foot Drive,Vidalia,GA,30474,(478) 274-8426,Certified,10/5/11
"HealthQwest, LLC",,607 Russell Parkway,Warner Robins,GA,31088,(478) 225-9860,Certified,11/24/09
Treatment Center of Waycross,,"1766 Memorial Drive, Suite-3",Waycross,GA,31501,(912) 285-2658,Certified,1/25/08
Tri-State Treatment,,1236 Highway 299,Wildwood,GA,30757,(423) 428-0045,Certified,5/29/13
"The Genesis Center of Winder, LLC",,206 E. Broad St,Winder,GA,30680,(678) 900-1579,Certified,3/23/21
"Georgia CTC, LLC",Woodstock Comprehensive Treatment Center,270 Heritage Walk,Woodstock,GA,30188,(760) 459-1418,Certified,6/26/13
